window_id,film,window_start,window_end,true_is_song,true_is_action,song_prob,action_prob,predicted_label,confidence,correct
W160,Jawan (2023),01:26:35,01:28:44,1,1,0.9594,0.3143,song,0.9594,NO
W197,Pushpa (2021),01:29:14,01:31:19,1,1,0.9594,0.3143,song,0.9594,NO
W030,Dangal (2016),02:36:14,02:38:42,1,1,0.9594,0.3143,song,0.9594,NO
W138,RRR (2022),00:28:10,00:29:58,1,1,0.9594,0.9625,QA_QUEUE,0.9609,YES
W045,3 Idiots (2009),00:59:30,01:01:29,1,1,0.9594,0.9625,QA_QUEUE,0.9609,YES
W178,Pushpa (2021),00:04:13,00:05:48,1,1,0.9594,0.9625,QA_QUEUE,0.9609,YES
W192,KGF Chapter 2 (2022),02:45:04,02:46:39,1,1,0.9594,0.0,song,0.9594,NO
W002,RRR (2022),00:42:42,00:44:46,1,1,0.9594,0.0,song,0.9594,NO
W098,Bahubali 2 (2017),02:38:09,02:39:51,1,1,0.9594,0.9625,QA_QUEUE,0.9609,YES
W026,Dil Bechara (2020),00:04:39,00:06:53,1,1,0.9594,0.9625,QA_QUEUE,0.9609,YES
W162,3 Idiots (2009),01:47:40,01:49:11,1,1,0.9594,0.9625,QA_QUEUE,0.9609,YES
W115,Dil Bechara (2020),01:13:17,01:15:36,1,1,0.9594,0.9625,QA_QUEUE,0.9609,YES
